,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
0,Diogo Jota ,20,POR,FW,24-253,60,1,0,0,0,2,2,0,0,22,1,0,0
1,   Roberto Firmino ,9,BRA,FW,29-316,30,1,0,0,0,1,1,0,0,17,1,0,1
2,Sadio Mané ,10,SEN,LW,29-126,90,0,0,0,0,3,0,0,0,45,1,0,1
3,Mohamed Salah ,11,EGY,RW,29-060,90,1,2,0,0,5,2,0,0,35,0,0,0
4,Naby Keïta ,8,GUI,"LM,RM",26-185,82,0,0,0,0,0,0,0,0,52,6,0,2
5,   Harvey Elliott ,67,ENG,RM,18-132,8,0,0,0,0,0,0,0,0,7,0,0,0
6,James Milner ,7,ENG,"CM,LM",35-222,90,0,0,0,0,0,0,1,0,81,3,2,2
7,Alex Oxlade-Chamberlain ,15,ENG,RM,27-364,60,0,0,0,0,2,0,0,0,28,0,1,1
8,   Fabinho ,3,BRA,CM,27-295,30,0,0,0,0,0,0,0,0,25,0,0,2
9,Kostas Tsimikas ,21,GRE,LB,25-094,90,0,0,0,0,2,1,0,0,77,3,0,1
10,Virgil van Dijk ,4,NED,CB,30-037,90,0,0,0,0,1,0,0,0,95,0,0,0
11,Joël Matip ,32,CMR,CB,30-006,90,0,0,0,0,1,0,0,0,82,0,0,1
12,Trent Alexander-Arnold ,66,ENG,RB,22-311,90,0,0,0,0,2,0,0,0,66,1,2,1
13,Alisson ,1,BRA,GK,28-316,90,0,0,0,0,0,0,0,0,34,0,0,0
14,Diogo Jota ,20,POR,FW,24-260,80,1,0,0,0,3,1,0,0,32,4,0,0
15,   Roberto Firmino ,9,BRA,FW,29-323,10,0,0,0,0,1,1,0,0,10,0,0,1
16,Sadio Mané ,10,SEN,LW,29-133,90,1,0,0,0,6,4,0,0,35,0,0,1
17,Mohamed Salah ,11,EGY,RW,29-067,90,0,0,0,0,5,1,0,0,42,0,0,0
18,Naby Keïta ,8,GUI,LM,26-192,80,0,0,0,0,1,0,0,0,57,3,0,3
19,   Thiago Alcántara ,6,ESP,LM,30-132,10,0,0,0,0,1,0,0,0,18,0,0,0
20,Jordan Henderson ,14,ENG,CM,31-065,90,0,0,0,0,1,0,0,0,79,0,0,0
21,Harvey Elliott ,67,ENG,RM,18-139,90,0,0,0,0,2,0,0,0,72,0,1,0
22,Kostas Tsimikas ,21,GRE,LB,25-101,89,0,1,0,0,0,0,0,0,68,3,1,0
23,   Joe Gomez ,12,ENG,LB,24-090,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Virgil van Dijk ,4,NED,CB,30-044,90,0,0,0,0,3,0,0,0,65,0,1,1
25,Joël Matip ,32,CMR,CB,30-013,90,0,0,0,0,3,0,0,0,73,2,1,0
26,Trent Alexander-Arnold ,66,ENG,RB,22-318,90,0,1,0,0,1,1,0,0,98,2,1,1
27,Alisson ,1,BRA,GK,28-323,90,0,0,0,0,0,0,0,0,53,0,0,0
28,Roberto Firmino ,9,BRA,FW,29-330,42,0,0,0,0,0,0,0,0,23,1,0,0
29,   Diogo Jota ,20,POR,FW,24-267,48,0,0,0,0,3,1,0,0,29,1,0,2
30,Sadio Mané ,10,SEN,LW,29-140,90,0,0,0,0,3,0,0,0,67,3,3,5
31,Mohamed Salah ,11,EGY,RW,29-074,90,1,0,1,1,2,1,0,0,56,0,0,0
32,Jordan Henderson ,14,ENG,LM,31-072,73,0,0,0,0,2,0,0,0,87,0,2,0
33,   Thiago Alcántara ,6,ESP,LM,30-139,17,0,0,0,0,0,0,0,0,22,1,0,0
34,Fabinho ,3,BRA,CM,27-309,90,0,0,0,0,2,1,0,0,77,2,0,0
35,Harvey Elliott ,67,ENG,RM,18-146,90,0,0,0,0,2,0,0,0,106,1,2,4
36,Andrew Robertson ,26,SCO,LB,27-170,85,0,0,0,0,1,1,0,0,80,0,2,0
37,   Kostas Tsimikas ,21,GRE,LB,25-108,5,0,0,0,0,0,0,0,0,7,0,0,1
38,Virgil van Dijk ,4,NED,CB,30-051,90,0,0,0,0,3,1,0,0,88,2,1,1
39,Joël Matip ,32,CMR,CB,30-020,90,0,0,0,0,3,0,0,0,97,3,1,2
40,Trent Alexander-Arnold ,66,ENG,RB,22-325,90,0,0,0,0,2,1,0,0,110,2,0,0
41,Alisson ,1,BRA,GK,28-330,90,0,0,0,0,0,0,0,0,26,0,0,0
42,Diogo Jota ,20,POR,FW,24-282,81,0,0,0,0,3,1,0,0,43,0,0,2
43,   Alex Oxlade-Chamberlain ,15,ENG,FW,28-028,9,0,0,0,0,0,0,0,0,7,0,0,0
44,Sadio Mané ,10,SEN,LW,29-155,90,1,0,0,0,10,2,0,0,51,0,0,1
45,Mohamed Salah ,11,EGY,RW,29-089,90,1,0,0,0,3,1,0,0,47,1,0,0
46,Thiago Alcántara ,6,ESP,LM,30-154,89,0,1,0,0,1,0,0,0,74,4,1,0
47,   Naby Keïta ,8,GUI,LM,26-214,1,0,0,0,0,0,0,0,0,4,0,0,0
48,Fabinho ,3,BRA,CM,27-324,90,1,0,0,0,3,1,1,0,51,1,5,2
49,Harvey Elliott ,67,ENG,RM,18-161,62,0,0,0,0,3,1,0,0,41,0,0,2
50,   Jordan Henderson ,14,ENG,RM,31-087,28,0,0,0,0,1,1,0,0,30,1,0,0
51,Andrew Robertson ,26,SCO,LB,27-185,90,0,0,0,0,0,0,0,0,79,1,0,0
52,Virgil van Dijk ,4,NED,CB,30-066,90,0,0,0,0,2,0,0,0,66,0,0,0
53,Joël Matip ,32,CMR,CB,30-035,90,0,0,0,0,1,0,0,0,77,0,0,0
54,Trent Alexander-Arnold ,66,ENG,RB,22-340,90,0,1,0,0,3,1,0,0,70,0,2,1
55,Alisson ,1,BRA,GK,28-345,90,0,0,0,0,0,0,0,0,44,0,0,0
56,Diogo Jota ,20,POR,FW,24-288,75,0,0,0,0,4,0,0,0,28,3,0,1
57,   Curtis Jones ,17,ENG,"LW,RM",20-231,15,0,0,0,0,1,0,0,0,7,0,0,1
58,Sadio Mané ,10,SEN,"LW,FW",29-161,90,1,0,0,0,2,1,0,0,31,2,0,0
59,Mohamed Salah ,11,EGY,RW,29-095,90,1,0,0,0,6,5,1,0,57,0,0,0
60,Thiago Alcántara ,6,ESP,LM,30-160,61,0,0,0,0,3,1,0,0,61,0,1,0
61,   Naby Keïta ,8,GUI,LM,26-220,29,1,0,0,0,2,2,0,0,9,1,0,2
62,Fabinho ,3,BRA,CM,27-330,90,0,0,0,0,2,0,0,0,71,3,2,0
63,Jordan Henderson ,14,ENG,RM,31-093,87,0,0,0,0,2,1,1,0,65,3,0,1
64,   Divock Origi ,27,BEL,LW,26-153,3,0,0,0,0,0,0,0,0,2,0,0,0
65,Kostas Tsimikas ,21,GRE,LB,25-129,90,0,0,0,0,1,0,1,0,68,3,2,1
66,Virgil van Dijk ,4,NED,CB,30-072,90,0,1,0,0,1,0,0,0,73,0,1,2
67,Ibrahima Konaté ,5,FRA,CB,22-116,90,0,0,0,0,0,0,0,0,65,2,1,2
68,James Milner ,7,ENG,RB,35-257,90,0,0,0,0,1,0,0,0,112,4,3,2
69,Alisson ,1,BRA,GK,28-351,90,0,0,0,0,0,0,0,0,33,0,0,0
70,Diogo Jota ,20,POR,"FW,RM",24-295,90,1,0,0,0,2,2,0,0,34,0,0,0
71,Sadio Mané ,10,SEN,"LW,LM",29-168,90,0,0,0,0,1,0,0,0,47,1,0,0
72,Mohamed Salah ,11,EGY,"RW,FW",29-102,90,1,0,0,0,3,1,0,0,51,0,1,0
73,Curtis Jones ,17,ENG,LM,20-238,67,1,0,0,0,4,1,0,0,52,3,0,0
74,   Roberto Firmino ,9,BRA,FW,29-358,23,0,0,0,0,0,0,0,0,12,0,0,0
75,Fabinho ,3,BRA,CM,27-337,90,0,1,0,0,0,0,0,0,65,0,2,2
76,Jordan Henderson ,14,ENG,"RM,CM",31-100,90,0,1,0,0,0,0,0,0,62,1,0,3
77,Andrew Robertson ,26,SCO,LB,27-198,90,0,1,0,0,1,0,1,0,102,0,0,0
78,Virgil van Dijk ,4,NED,CB,30-079,90,0,0,0,0,1,1,0,0,60,2,1,0
79,Joël Matip ,32,CMR,CB,30-048,90,0,0,0,0,1,0,0,0,68,0,2,3
80,Trent Alexander-Arnold ,66,ENG,RB,22-353,90,0,0,0,0,3,0,0,0,118,4,3,1
81,Alisson ,1,BRA,GK,28-358,90,0,0,0,0,0,0,0,0,31,0,0,0
82,Diogo Jota ,20,POR,FW,24-303,67,0,0,0,0,1,1,1,0,22,0,1,0
83,   Roberto Firmino ,9,BRA,FW,30-001,23,0,0,0,0,0,0,0,0,14,2,1,0
84,Sadio Mané ,10,SEN,LW,29-176,90,1,0,0,0,1,1,0,0,29,0,1,2
85,Mohamed Salah ,11,EGY,RW,29-110,90,1,1,0,0,3,1,0,0,40,4,1,0
86,Curtis Jones ,17,ENG,LM,20-246,90,0,1,0,0,0,0,0,0,50,1,0,0
87,Fabinho ,3,BRA,CM,27-345,90,0,0,0,0,1,0,1,0,44,1,0,0
88,Jordan Henderson ,14,ENG,RM,31-108,90,0,0,0,0,0,0,0,0,51,3,2,1
89,Andrew Robertson ,26,SCO,LB,27-206,90,0,0,0,0,0,0,0,0,67,2,3,2
90,Virgil van Dijk ,4,NED,CB,30-087,90,0,0,0,0,0,0,0,0,98,0,1,1
91,Joël Matip ,32,CMR,CB,30-056,90,0,0,0,0,0,0,0,0,100,3,4,2
92,James Milner ,7,ENG,RB,35-272,77,0,0,0,0,0,0,1,0,64,0,2,3
93,   Joe Gomez ,12,ENG,RB,24-133,13,0,0,0,0,0,0,0,0,14,0,1,0
94,Alisson ,1,BRA,GK,29-001,90,0,0,0,0,0,0,0,0,62,1,0,0
95,Roberto Firmino ,9,BRA,FW,30-014,90,3,1,0,0,3,3,0,0,63,1,0,4
96,Sadio Mané ,10,SEN,LW,29-189,90,1,0,0,0,4,2,0,0,46,1,1,0
97,Mohamed Salah ,11,EGY,RW,29-123,90,1,1,0,0,5,3,0,0,63,0,0,0
98,Naby Keïta ,8,GUI,LM,26-248,90,0,0,0,0,3,0,0,0,80,4,0,3
99,Jordan Henderson ,14,ENG,CM,31-121,90,0,0,0,0,0,0,0,0,123,3,0,0
100,James Milner ,7,ENG,"RM,RB",35-285,82,0,1,0,0,1,0,0,0,88,3,1,1
101,   Neco Williams ,76,WAL,RB,20-186,8,0,1,0,0,0,0,0,0,10,0,0,0
102,Andrew Robertson ,26,SCO,LB,27-219,63,0,0,0,0,0,0,0,0,73,3,0,0
103,   Kostas Tsimikas ,21,GRE,LB,25-157,27,0,0,0,0,0,0,0,0,22,2,0,0
104,Virgil van Dijk ,4,NED,CB,30-100,90,0,0,0,0,0,0,0,0,106,0,0,0
105,Joël Matip ,32,CMR,CB,30-069,90,0,0,0,0,1,0,0,0,119,0,1,0
106,Trent Alexander-Arnold ,66,ENG,RB,23-009,64,0,0,0,0,2,0,0,0,90,1,1,0
107,   Alex Oxlade-Chamberlain ,15,ENG,RM,28-062,26,0,0,0,0,0,0,0,0,24,0,0,1
108,Caoimhín Kelleher ,62,IRL,GK,22-327,90,0,0,0,0,0,0,0,0,43,0,0,0
109,Roberto Firmino ,9,BRA,FW,30-022,76,0,0,0,0,3,1,0,0,47,1,0,3
110,   Sadio Mané ,10,SEN,FW,29-197,14,0,0,0,0,1,0,0,0,9,0,0,0
111,Diogo Jota ,20,POR,LW,24-324,90,1,1,0,0,2,1,0,0,45,1,0,2
112,Mohamed Salah ,11,EGY,RW,29-131,90,3,1,0,0,7,4,0,0,57,0,0,0
113,James Milner ,7,ENG,LM,35-293,26,0,0,0,0,0,0,0,0,13,0,0,0
114,   Curtis Jones ,17,ENG,LM,20-267,64,0,0,0,0,1,0,0,0,69,0,0,0
115,Jordan Henderson ,14,ENG,CM,31-129,90,0,1,0,0,1,0,0,0,143,2,3,2
116,Naby Keïta ,8,GUI,RM,26-256,62,1,1,0,0,2,1,0,0,43,1,4,3
117,   Alex Oxlade-Chamberlain ,15,ENG,RM,28-070,28,0,0,0,0,1,0,0,0,32,2,1,0
118,Andrew Robertson ,26,SCO,LB,27-227,90,0,0,0,0,0,0,0,0,104,1,0,1
119,Virgil van Dijk ,4,NED,CB,30-108,90,0,0,0,0,0,0,0,0,75,0,1,1
120,Ibrahima Konaté ,5,FRA,CB,22-152,90,0,0,0,0,0,0,0,0,59,1,0,0
121,Trent Alexander-Arnold ,66,ENG,RB,23-017,90,0,1,0,0,1,1,0,0,114,2,2,0
122,Alisson ,1,BRA,GK,29-022,90,0,0,0,0,0,0,0,0,35,0,0,0
123,Roberto Firmino ,9,BRA,FW,30-028,77,0,0,0,0,4,0,0,0,51,3,0,1
124,   Diogo Jota ,20,POR,FW,24-330,13,0,0,0,0,0,0,0,0,6,1,0,0
125,Sadio Mané ,10,SEN,LW,29-203,90,1,0,0,0,2,1,0,0,50,1,1,1
126,Mohamed Salah ,11,EGY,RW,29-137,90,0,1,0,0,2,1,0,0,42,0,0,0
127,Curtis Jones ,17,ENG,LM,20-273,86,0,0,0,0,0,0,0,0,76,1,1,0
128,   Takumi Minamino ,18,JPN,LM,26-287,4,0,0,0,0,0,0,1,0,6,0,0,1
129,Jordan Henderson ,14,ENG,CM,31-135,90,1,0,0,0,3,1,0,0,82,1,0,3
130,Naby Keïta ,8,GUI,RM,26-262,18,0,0,0,0,0,0,0,0,21,1,0,1
131,   Alex Oxlade-Chamberlain ,15,ENG,RM,28-076,72,0,1,0,0,2,0,0,0,44,1,2,0
132,Andrew Robertson ,26,SCO,LB,27-233,90,0,0,0,0,0,0,1,0,88,0,3,0
133,Virgil van Dijk ,4,NED,CB,30-114,90,0,0,0,0,0,0,0,0,91,0,3,1
134,Ibrahima Konaté ,5,FRA,CB,22-158,90,0,0,0,0,0,0,0,0,85,1,4,0
135,Trent Alexander-Arnold ,66,ENG,RB,23-023,90,0,0,0,0,1,0,0,0,108,0,2,1
136,Alisson ,1,BRA,GK,29-028,90,0,0,0,0,0,0,0,0,42,0,0,0
137,Diogo Jota ,20,POR,FW,24-338,75,0,0,0,0,2,0,0,0,27,1,1,1
138,   Divock Origi ,27,BEL,FW,26-203,15,1,0,0,0,2,2,0,0,11,0,0,0
139,Sadio Mané ,10,SEN,LW,29-211,90,0,0,0,0,4,1,0,0,53,0,1,2
140,Mohamed Salah ,11,EGY,RW,29-145,90,0,1,0,0,2,0,0,0,45,0,0,0
141,Alex Oxlade-Chamberlain ,15,ENG,LM,28-084,67,0,0,0,0,1,0,0,0,51,2,0,0
142,   Thiago Alcántara ,6,ESP,LM,30-210,23,0,0,0,0,1,1,0,0,46,1,0,0
143,Fabinho ,3,BRA,CM,28-015,79,0,0,0,0,0,0,0,0,91,0,2,2
144,   Takumi Minamino ,18,JPN,CM,26-295,11,0,0,0,0,0,0,0,0,9,1,0,0
145,Jordan Henderson ,14,ENG,RM,31-143,90,0,0,0,0,1,0,0,0,105,1,0,1
146,Andrew Robertson ,26,SCO,LB,27-241,90,0,0,0,0,0,0,0,0,91,0,0,3
147,Virgil van Dijk ,4,NED,CB,30-122,90,0,0,0,0,1,0,0,0,81,0,2,2
148,Joël Matip ,32,CMR,CB,30-091,90,0,0,0,0,0,0,0,0,98,0,2,0
149,Trent Alexander-Arnold ,66,ENG,RB,23-031,90,1,1,0,0,2,1,1,0,91,0,4,0
150,Alisson ,1,BRA,GK,29-036,90,0,0,0,0,0,0,0,0,30,0,0,0
151,Diogo Jota ,20,POR,FW,24-351,75,1,0,0,0,2,2,0,0,29,0,0,0
152,   Takumi Minamino ,18,JPN,FW,26-308,15,1,0,0,0,1,1,0,0,9,0,0,0
153,Sadio Mané ,10,SEN,LW,29-224,90,1,1,0,0,2,2,1,0,44,2,0,0
154,Mohamed Salah ,11,EGY,RW,29-158,90,1,0,0,0,4,2,0,0,49,0,0,0
155,Thiago Alcántara ,6,ESP,LM,30-223,83,0,0,0,0,2,1,0,0,90,2,1,0
156,   Tyler Morton ,80,ENG,RM,19-020,7,0,0,0,0,0,0,0,0,9,0,0,0
157,Fabinho ,3,BRA,CM,28-028,90,0,0,0,0,0,0,1,0,66,2,1,0
158,Alex Oxlade-Chamberlain ,15,ENG,RM,28-097,75,0,0,0,0,3,0,0,0,47,3,1,3
159,   Jordan Henderson ,14,ENG,RM,31-156,15,0,0,0,0,0,0,0,0,23,0,0,0
160,Kostas Tsimikas ,21,GRE,LB,25-192,90,0,0,0,0,0,0,0,0,66,4,0,0
161,Virgil van Dijk ,4,NED,CB,30-135,90,0,0,0,0,2,0,0,0,114,0,0,2
162,Joël Matip ,32,CMR,CB,30-104,90,0,0,0,0,0,0,0,0,85,0,1,0
163,Trent Alexander-Arnold ,66,ENG,RB,23-044,90,0,2,0,0,3,1,0,0,72,1,0,0
164,Alisson ,1,BRA,GK,29-049,90,0,0,0,0,0,0,0,0,75,0,0,0
165,Diogo Jota ,20,POR,FW,24-358,80,2,0,0,0,7,2,0,0,48,1,0,0
166,   Takumi Minamino ,18,JPN,FW,26-315,10,0,0,0,0,0,0,0,0,4,0,0,0
167,Sadio Mané ,10,SEN,LW,29-231,90,0,0,0,0,3,1,0,0,51,0,0,0
168,Mohamed Salah ,11,EGY,RW,29-165,90,0,1,0,0,4,0,0,0,46,0,0,0
169,Thiago Alcántara ,6,ESP,LM,30-230,58,1,0,0,0,1,1,0,0,59,2,0,1
170,   Alex Oxlade-Chamberlain ,15,ENG,LM,28-104,32,0,0,0,0,2,1,0,0,24,0,0,0
171,Fabinho ,3,BRA,CM,28-035,90,0,0,0,0,0,0,0,0,83,3,1,3
172,Jordan Henderson ,14,ENG,RM,31-163,66,0,0,0,0,1,0,0,0,56,0,0,0
173,   James Milner ,7,ENG,RM,35-327,24,0,0,0,0,1,0,0,0,32,1,0,1
174,Andrew Robertson ,26,SCO,LB,27-261,90,0,1,0,0,0,0,0,0,79,0,1,0
175,Virgil van Dijk ,4,NED,CB,30-142,90,1,0,0,0,1,1,0,0,80,1,1,0
176,Ibrahima Konaté ,5,FRA,CB,22-186,90,0,0,0,0,0,0,0,0,64,2,3,1
177,Trent Alexander-Arnold ,66,ENG,RB,23-051,90,0,1,0,0,0,0,0,0,102,2,0,1
178,Alisson ,1,BRA,GK,29-056,90,0,0,0,0,0,0,0,0,51,1,0,0
179,Diogo Jota ,20,POR,FW,24-362,87,1,0,0,0,2,1,0,0,44,3,0,0
180,   Takumi Minamino ,18,JPN,FW,26-319,3,0,0,0,0,0,0,0,0,2,0,0,0
181,Sadio Mané ,10,SEN,LW,29-235,90,0,0,0,0,3,1,0,0,49,1,0,1
182,Mohamed Salah ,11,EGY,RW,29-169,90,2,0,0,0,5,3,0,0,54,1,0,1
183,Thiago Alcántara ,6,ESP,LM,30-234,74,0,0,0,0,2,0,1,0,62,2,0,3
184,   James Milner ,7,ENG,LM,35-331,16,0,0,0,0,0,0,0,0,26,1,0,1
185,Fabinho ,3,BRA,CM,28-039,90,0,0,0,0,0,0,0,0,72,1,3,0
186,Jordan Henderson ,14,ENG,RM,31-167,82,1,1,0,0,1,1,0,0,74,0,0,2
187,   Alex Oxlade-Chamberlain ,15,ENG,RM,28-108,8,0,0,0,0,0,0,0,0,13,0,0,0
188,Andrew Robertson ,26,SCO,LB,27-265,90,0,2,0,0,0,0,1,0,77,5,0,2
189,Virgil van Dijk ,4,NED,CB,30-146,90,0,0,0,0,1,0,1,0,76,1,1,1
190,Joël Matip ,32,CMR,CB,30-115,90,0,0,0,0,1,0,0,0,67,0,2,2
191,Trent Alexander-Arnold ,66,ENG,RB,23-055,90,0,0,0,0,1,1,0,0,89,0,3,0
192,Alisson ,1,BRA,GK,29-060,90,0,0,0,0,0,0,0,0,42,0,0,0
193,Diogo Jota ,20,POR,"FW,AM",25-000,81,0,0,0,0,4,0,0,0,43,0,0,1
194,   Alex Oxlade-Chamberlain ,15,ENG,AM,28-111,9,0,0,0,0,0,0,0,0,6,1,0,1
195,Sadio Mané ,10,SEN,LW,29-238,90,0,0,0,0,1,1,0,0,47,2,0,1
196,Mohamed Salah ,11,EGY,RW,29-172,89,0,1,0,0,2,1,0,0,42,0,1,0
197,   James Milner ,7,ENG,RW,35-334,1,0,0,0,0,0,0,0,0,1,0,0,0
198,Thiago Alcántara ,6,ESP,"LM,DM",30-237,90,0,0,0,0,4,1,0,0,106,2,2,1
199,Fabinho ,3,BRA,"CM,DM",28-042,90,0,0,0,0,0,0,1,0,79,2,3,1
200,Jordan Henderson ,14,ENG,RM,31-170,67,0,0,0,0,0,0,0,0,57,1,0,0
201,   Divock Origi ,27,BEL,FW,26-230,23,1,0,0,0,3,1,0,0,17,0,0,0
202,Andrew Robertson ,26,SCO,LB,27-268,90,0,0,0,0,0,0,1,0,89,3,0,1
203,Virgil van Dijk ,4,NED,CB,30-149,90,0,0,0,0,0,0,0,0,99,0,0,0
204,Joël Matip ,32,CMR,CB,30-118,90,0,0,0,0,1,0,0,0,95,3,1,0
205,Trent Alexander-Arnold ,66,ENG,RB,23-058,90,0,0,0,0,2,0,0,0,89,1,2,2
206,Alisson ,1,BRA,GK,29-063,90,0,0,0,0,0,0,0,0,24,0,0,0
207,Alex Oxlade-Chamberlain ,15,ENG,FW,28-118,57,0,0,0,0,1,0,0,0,24,0,0,1
208,   Diogo Jota ,20,POR,FW,25-007,33,0,0,0,0,2,0,0,0,9,0,0,0
209,Sadio Mané ,10,SEN,LW,29-245,87,0,0,0,0,4,0,0,0,47,4,0,1
210,   Takumi Minamino ,18,JPN,LW,26-329,3,0,0,0,0,0,0,0,0,2,0,0,0
